PROVINCIA,CANTON,DISTRITO,POBL_2022
SanJosé,SanJosé,Carmen,2946.0
SanJosé,SanJosé,Merced,15408.0
SanJosé,SanJosé,Hospital,24030.0
SanJosé,SanJosé,Catedral,15682.0
SanJosé,SanJosé,Zapote,21990.0
SanJosé,SanJosé,SanFranciscodeDosRíos,23745.0
SanJosé,SanJosé,Uruca,42861.0
SanJosé,SanJosé,MataRedonda,10119.0
SanJosé,SanJosé,Pavas,89531.0
SanJosé,SanJosé,Hatillo,60723.0
SanJosé,SanJosé,SanSebastián,44923.0
SanJosé,Escazú,Escazú,13752.0
SanJosé,Escazú,SanAntonio,28329.0
SanJosé,Escazú,SanRafael,29121.0
SanJosé,Desamparados,Desamparados,37479.0
SanJosé,Desamparados,SanMiguel,38716.0
SanJosé,Desamparados,SanJuandeDios,24505.0
SanJosé,Desamparados,SanRafaelArriba,18412.0
SanJosé,Desamparados,SanAntonio,11343.0
SanJosé,Desamparados,Frailes,4586.0
SanJosé,Desamparados,Patarrá,14919.0
SanJosé,Desamparados,SanCristóbal,4769.0
SanJosé,Desamparados,Rosario,3787.0
SanJosé,Desamparados,Damas,15713.0
SanJosé,Desamparados,SanRafaelAbajo,26781.0
SanJosé,Desamparados,Gravilias,17237.0
SanJosé,Desamparados,LosGuido,31120.0
SanJosé,Puriscal,Santiago,12600.0
SanJosé,Puriscal,MercedesSur,7099.0
SanJosé,Puriscal,Barbacoas,4486.0
SanJosé,Puriscal,GrifoAlto,1492.0
SanJosé,Puriscal,SanRafael,2009.0
SanJosé,Puriscal,Candelarita,1753.0
SanJosé,Puriscal,Desamparaditos,794.0
SanJosé,Puriscal,SanAntonio,4720.0
SanJosé,Puriscal,Chires,3640.0
SanJosé,Tarrazú,SanMarcos,11365.0
SanJosé,Tarrazú,SanLorenzo,5250.0
SanJosé,Tarrazú,SanCarlos,2172.0
SanJosé,Aserrí,Aserrí,30347.0
SanJosé,Aserrí,Tarbaca,1676.0
SanJosé,Aserrí,VueltadeJorco,7342.0
SanJosé,Aserrí,SanGabriel,6930.0
SanJosé,Aserrí,Legua,1748.0
SanJosé,Aserrí,Monterrey,558.0
SanJosé,Aserrí,Salitrillos,15879.0
SanJosé,Mora,Colón,17411.0
SanJosé,Mora,Guayabo,5414.0
SanJosé,Mora,Tabarcia,5160.0
SanJosé,Mora,PiedrasNegras,498.0
SanJosé,Mora,Picagres,899.0
SanJosé,Mora,Jaris,1377.0
SanJosé,Mora,Quitirrisí,
SanJosé,Goicoechea,Guadalupe,22347.0
SanJosé,Goicoechea,SanFrancisco,2421.0
SanJosé,Goicoechea,CalleBlancos,23451.0
SanJosé,Goicoechea,MatadePlátano,21198.0
SanJosé,Goicoechea,Ipís,32049.0
SanJosé,Goicoechea,RanchoRedondo,3224.0
SanJosé,Goicoechea,Purral,36074.0
SanJosé,SantaAna,SantaAna,12956.0
SanJosé,SantaAna,Salitral,5587.0
SanJosé,SantaAna,Pozos,20671.0
SanJosé,SantaAna,Uruca,9129.0
SanJosé,SantaAna,Piedades,10263.0
SanJosé,SantaAna,Brasil,3247.0
