id,package,function,name,value
flare.analytics.cluster.AgglomerativeCluster,flare,analytics,cluster,3938
flare.analytics.cluster.CommunityStructure,flare,analytics,cluster,3812
flare.analytics.cluster.HierarchicalCluster,flare,analytics,cluster,6714
flare.analytics.cluster.MergeEdge,flare,analytics,cluster,743
flare.analytics.graph.BetweennessCentrality,flare,analytics,graph,3534
flare.analytics.graph.LinkDistance,flare,analytics,graph,5731
flare.analytics.graph.MaxFlowMinCut,flare,analytics,graph,7840
flare.analytics.graph.ShortestPaths,flare,analytics,graph,5914
flare.analytics.graph.SpanningTree,flare,analytics,graph,3416
flare.analytics.optimization.AspectRatioBanker,flare,analytics,optimization,7074
flare.animate.Easing,flare,animate,Easing,17010
flare.animate.FunctionSequence,flare,animate,FunctionSequence,5842
flare.animate.interpolate.ArrayInterpolator,flare,animate,interpolate,1983
flare.animate.interpolate.ColorInterpolator,flare,animate,interpolate,2047
flare.animate.interpolate.DateInterpolator,flare,animate,interpolate,1375
flare.animate.interpolate.Interpolator,flare,animate,interpolate,8746
flare.animate.interpolate.MatrixInterpolator,flare,animate,interpolate,2202
flare.animate.interpolate.NumberInterpolator,flare,animate,interpolate,1382
flare.animate.interpolate.ObjectInterpolator,flare,animate,interpolate,1629
flare.animate.interpolate.PointInterpolator,flare,animate,interpolate,1675
flare.animate.interpolate.RectangleInterpolator,flare,animate,interpolate,2042
flare.animate.ISchedulable,flare,animate,ISchedulable,1041
flare.animate.Parallel,flare,animate,Parallel,5176
flare.animate.Pause,flare,animate,Pause,449
flare.animate.Scheduler,flare,animate,Scheduler,5593
flare.animate.Sequence,flare,animate,Sequence,5534
flare.animate.Transition,flare,animate,Transition,9201
flare.animate.Transitioner,flare,animate,Transitioner,19975
flare.animate.TransitionEvent,flare,animate,TransitionEvent,1116
flare.animate.Tween,flare,animate,Tween,6006
flare.data.converters.Converters,flare,data,converters,721
flare.data.converters.DelimitedTextConverter,flare,data,converters,4294
flare.data.converters.GraphMLConverter,flare,data,converters,9800
flare.data.converters.IDataConverter,flare,data,converters,1314
flare.data.converters.JSONConverter,flare,data,converters,2220
