id,package,function,name,secondName,value
flare.analytics.cluster.AgglomerativeCluster,flare,analytics,cluster,AgglomerativeCluster,3938
flare.analytics.cluster.CommunityStructure,flare,analytics,cluster,CommunityStructure,3812
flare.analytics.cluster.HierarchicalCluster,flare,analytics,cluster,HierarchicalCluster,6714
flare.analytics.cluster.MergeEdge,flare,analytics,cluster,MergeEdge,743
flare.analytics.graph.BetweennessCentrality,flare,analytics,graph,BetweennessCentrality,3534
flare.analytics.graph.LinkDistance,flare,analytics,graph,LinkDistance,5731
flare.analytics.graph.MaxFlowMinCut,flare,analytics,graph,MaxFlowMinCut,7840
flare.analytics.graph.ShortestPaths,flare,analytics,graph,ShortestPaths,5914
flare.analytics.graph.SpanningTree,flare,analytics,graph,SpanningTree,3416
flare.analytics.optimization.AspectRatioBanker,flare,analytics,optimization,AspectRatioBanker,7074
flare.animate.interpolate.ArrayInterpolator,flare,animate,interpolate,ArrayInterpolator,1983
flare.animate.interpolate.ColorInterpolator,flare,animate,interpolate,ColorInterpolator,2047
flare.animate.interpolate.DateInterpolator,flare,animate,interpolate,DateInterpolator,1375
flare.animate.interpolate.Interpolator,flare,animate,interpolate,Interpolator,8746
flare.animate.interpolate.MatrixInterpolator,flare,animate,interpolate,MatrixInterpolator,2202
flare.animate.interpolate.NumberInterpolator,flare,animate,interpolate,NumberInterpolator,1382
flare.animate.interpolate.ObjectInterpolator,flare,animate,interpolate,ObjectInterpolator,1629
flare.animate.interpolate.PointInterpolator,flare,animate,interpolate,PointInterpolator,1675
flare.animate.interpolate.RectangleInterpolator,flare,animate,interpolate,RectangleInterpolator,2042
flare.data.converters.Converters,flare,data,converters,Converters,721
flare.data.converters.DelimitedTextConverter,flare,data,converters,DelimitedTextConverter,4294
flare.data.converters.GraphMLConverter,flare,data,converters,GraphMLConverter,9800
flare.data.converters.IDataConverter,flare,data,converters,IDataConverter,1314
flare.data.converters.JSONConverter,flare,data,converters,JSONConverter,2220
flare.query.methods._,flare,query,methods,_,264
flare.query.methods.add,flare,query,methods,add,593
flare.query.methods.and,flare,query,methods,and,330
flare.query.methods.average,flare,query,methods,average,287
flare.query.methods.count,flare,query,methods,count,277
flare.query.methods.distinct,flare,query,methods,distinct,292
flare.query.methods.div,flare,query,methods,div,595
flare.query.methods.eq,flare,query,methods,eq,594
flare.query.methods.fn,flare,query,methods,fn,460
flare.query.methods.gt,flare,query,methods,gt,603
flare.query.methods.gte,flare,query,methods,gte,625
flare.query.methods.iff,flare,query,methods,iff,748
flare.query.methods.isa,flare,query,methods,isa,461
flare.query.methods.lt,flare,query,methods,lt,597
flare.query.methods.lte,flare,query,methods,lte,619
flare.query.methods.max,flare,query,methods,max,283
flare.query.methods.min,flare,query,methods,min,283
flare.query.methods.mod,flare,query,methods,mod,591
flare.query.methods.mul,flare,query,methods,mul,603
flare.query.methods.neq,flare,query,methods,neq,599
flare.query.methods.not,flare,query,methods,not,386
flare.query.methods.or,flare,query,methods,or,323
flare.query.methods.orderby,flare,query,methods,orderby,307
flare.query.methods.range,flare,query,methods,range,772
flare.query.methods.select,flare,query,methods,select,296
flare.query.methods.stddev,flare,query,methods,stddev,363
flare.query.methods.sub,flare,query,methods,sub,600
flare.query.methods.sum,flare,query,methods,sum,280
flare.query.methods.update,flare,query,methods,update,307
flare.query.methods.variance,flare,query,methods,variance,335
flare.query.methods.where,flare,query,methods,where,299
flare.query.methods.xor,flare,query,methods,xor,354
flare.util.heap.FibonacciHeap,flare,util,heap,FibonacciHeap,9354
flare.util.heap.HeapNode,flare,util,heap,HeapNode,1233
flare.util.math.DenseMatrix,flare,util,math,DenseMatrix,3165
flare.util.math.IMatrix,flare,util,math,IMatrix,2815
flare.util.math.SparseMatrix,flare,util,math,SparseMatrix,3366
flare.util.palette.ColorPalette,flare,util,palette,ColorPalette,6367
flare.util.palette.Palette,flare,util,palette,Palette,1229
flare.util.palette.ShapePalette,flare,util,palette,ShapePalette,2059
flare.util.palette.SizePalette,flare,util,palette,SizePalette,2291
flare.vis.axis.Axes,flare,vis,axis,Axes,1302
flare.vis.axis.Axis,flare,vis,axis,Axis,24593
flare.vis.axis.AxisGridLine,flare,vis,axis,AxisGridLine,652
flare.vis.axis.AxisLabel,flare,vis,axis,AxisLabel,636
flare.vis.axis.CartesianAxes,flare,vis,axis,CartesianAxes,6703
flare.vis.controls.AnchorControl,flare,vis,controls,AnchorControl,2138
flare.vis.controls.ClickControl,flare,vis,controls,ClickControl,3824
flare.vis.controls.Control,flare,vis,controls,Control,1353
flare.vis.controls.ControlList,flare,vis,controls,ControlList,4665
flare.vis.controls.DragControl,flare,vis,controls,DragControl,2649
flare.vis.controls.ExpandControl,flare,vis,controls,ExpandControl,2832
flare.vis.controls.HoverControl,flare,vis,controls,HoverControl,4896
flare.vis.controls.IControl,flare,vis,controls,IControl,763
flare.vis.controls.PanZoomControl,flare,vis,controls,PanZoomControl,5222
